room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15010459,59358781,Private room,,Brno,9,5.0,2,,26.0,2.0,49.200879,16.616485,2016-11-05 18:49:07.195780
14563390,20939806,Private room,,Brno,1,,2,1.0,42.0,2.0,49.198493,16.601695,2016-11-05 18:48:56.663073
14163837,62363449,Private room,,Brno,8,4.5,4,,12.0,1.0,49.196138,16.609262,2016-11-05 18:48:16.417953
12467829,59582333,Entire home/apt,,Brno,17,5.0,8,,42.0,1.0,49.193269,16.562201,2016-11-05 18:48:07.563775
15764774,101937108,Entire home/apt,,Brno,0,,5,,50.0,1.0,49.185921,16.586513,2016-11-05 18:47:59.406100
6358948,29371815,Entire home/apt,,Brno,10,5.0,8,4.0,69.0,1.0,49.198062,16.599019,2016-11-05 18:47:55.857356
8383099,38655874,Private room,,Brno,0,,2,,46.0,1.0,49.203462,16.595818,2016-11-05 18:47:52.407617
1742056,3616342,Private room,,Brno,5,4.5,1,,28.0,1.0,49.208636,16.613399,2016-11-05 18:47:39.197002
3366152,3566484,Entire home/apt,,Brno,7,4.5,4,,80.0,1.0,49.190883,16.60615,2016-11-05 18:47:20.763136
13270930,70634222,Private room,,Brno,0,,2,1.0,23.0,1.0,49.203544,16.596088,2016-11-05 18:46:53.270448
5758535,29872374,Entire home/apt,,Brno,25,4.5,4,,63.0,1.0,49.199939,16.614594,2016-11-05 18:46:34.867226
5958891,10753208,Private room,,Brno,6,4.5,4,,34.0,1.0,49.209412,16.611421,2016-11-05 18:46:27.273690
1775345,4504049,Entire home/apt,,Brno,3,4.5,4,,135.0,1.0,49.197848,16.609257,2016-11-05 18:45:57.416477
9308304,29371815,Entire home/apt,,Brno,46,4.5,4,2.0,50.0,1.0,49.20433,16.619237,2016-11-05 18:45:54.527917
7523069,39040456,Entire home/apt,,Brno,9,4.0,3,,67.0,2.0,49.201358,16.600805,2016-11-05 18:45:48.147910
15646597,67446480,Entire home/apt,,Brno,0,,4,2.0,85.0,1.0,49.195834,16.610389,2016-11-05 18:45:28.793677
12186578,44985860,Entire home/apt,,Brno,16,5.0,5,,22.0,,49.181203,16.598679,2016-11-05 18:45:17.935198
10980009,34115236,Private room,,Brno,1,,2,,29.0,1.0,49.203682,16.623873,2016-11-05 18:45:11.343537
10889839,25896772,Private room,,Brno,7,5.0,2,1.0,32.0,1.0,49.207406,16.613328,2016-11-05 18:44:48.954960
11781654,62734338,Private room,,Brno,1,,1,,22.0,1.0,49.210749,16.584432,2016-11-05 18:44:12.223487
2190553,8082029,Private room,,Brno,0,,2,,56.0,1.0,49.194943,16.608389,2016-11-05 18:44:09.007597
8197307,41012779,Entire home/apt,,Brno,52,5.0,2,1.0,47.0,2.0,49.182962,16.595947,2016-11-05 18:43:39.818154
4065165,20445409,Private room,,Brno,31,4.0,2,1.0,21.0,1.0,49.20113,16.598399,2016-11-05 18:43:32.828620
3378254,17042470,Private room,,Brno,0,,4,1.0,89.0,1.0,49.204907,16.593423,2016-11-05 18:43:28.367779
10486988,33514827,Private room,,Brno,9,5.0,2,1.0,16.0,1.0,49.200047,16.626234,2016-11-05 18:43:10.841950
5391286,14851142,Private room,,Brno,6,4.5,1,1.0,18.0,1.0,49.182611,16.561652,2016-11-05 18:43:02.942134
1741301,3616342,Private room,,Brno,0,,2,,41.0,1.0,49.207151,16.613542,2016-11-05 18:42:56.570103
1712691,2802348,Entire home/apt,,Brno,33,4.5,6,1.0,29.0,1.0,49.201053,16.623105,2016-11-05 18:42:26.429407
12193490,29094382,Entire home/apt,,Brno,6,4.0,4,1.0,34.0,1.0,49.201495,16.62212,2016-11-05 18:42:21.352466
14973715,94305985,Entire home/apt,,Brno,1,,4,2.0,42.0,3.0,49.224533,16.597214,2016-11-05 18:41:58.669797
5928285,11815074,Private room,,Brno,0,,2,1.0,26.0,1.0,49.17246,16.684445,2016-11-05 18:41:50.623676
829710,3946283,Private room,,Brno,13,5.0,2,1.0,46.0,1.0,49.192789,16.609863,2016-11-05 18:41:39.510825
13245711,74452775,Entire home/apt,,Brno,5,5.0,5,2.0,99.0,1.0,49.188642,16.606617,2016-11-05 18:41:18.079022
12701053,25470980,Entire home/apt,,Brno,5,5.0,3,1.0,28.0,,49.234372,16.628268,2016-11-05 18:40:43.459913
