room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
12304774,1099,66345928,Shared room,,Brno,,Brno,1,0.0,2,1.0,,14.0,,2017-04-12 12:42:04.587049,49.182407,16.597461,0101000020E6100000ADA23F34F3983040DEC7D11C59974840
1353870,1099,4504049,Shared room,,Brno,,Brno,9,5.0,6,1.0,,19.0,,2017-04-12 12:41:55.069278,49.197913,16.607754,0101000020E6100000600322C4959B3040043A933655994840
6049105,1099,31390388,Shared room,,Brno,,Brno,2,0.0,10,1.0,,12.0,,2017-04-12 12:41:55.067006,49.193917,16.611819,0101000020E61000004912842BA09C3040B891B245D2984840
16191125,1099,44260343,Shared room,,Brno,,Brno,1,0.0,6,1.0,,10.0,,2017-04-12 12:41:55.064476,49.20047,16.613751,0101000020E610000026E318C91E9D304021EA3E00A9994840
12864574,1099,8082029,Shared room,,Brno,,Brno,0,0.0,1,1.0,,20.0,,2017-04-12 12:41:55.061221,49.196193,16.607932,0101000020E61000001F317A6EA19B3040215A2BDA1C994840
12691076,1099,68975698,Shared room,,Brno,,Brno,0,0.0,4,1.0,,12.0,,2017-04-12 12:41:55.058244,49.219381,16.632454,0101000020E610000071395E81E8A13040902E36AD149C4840
10939439,1099,34115236,Shared room,,Brno,,Brno,2,0.0,8,1.0,,11.0,,2017-04-12 12:41:55.053369,49.203953,16.625083,0101000020E61000001B49827005A03040E675C4211B9A4840
5938236,1099,23770807,Shared room,,Brno,,Brno,13,4.5,3,1.0,,18.0,,2017-04-12 12:41:55.050218,49.207834,16.605419,0101000020E6100000856055BDFC9A3040997FF44D9A9A4840
13613013,1099,19713903,Shared room,,Brno,,Brno,0,0.0,2,1.0,,16.0,,2017-04-12 12:41:55.047175,49.165903,16.555605,0101000020E61000007C7E18213C8E304076A73B4F3C954840
12036183,1099,41363259,Shared room,,Brno,,Brno,0,0.0,1,1.0,,41.0,,2017-04-12 12:41:55.044491,49.163421,16.564714,0101000020E6100000E597C11891903040643DB5FAEA944840
16703855,1099,75228095,Shared room,,Brno,,Brno,0,0.0,2,1.0,,20.0,,2017-04-12 12:41:55.042133,49.203174,16.623529,0101000020E61000008B1BB7989F9F3040E1B20A9B019A4840
17696552,1099,3505103,Shared room,,Brno,,Brno,0,0.0,2,1.0,,16.0,,2017-04-12 12:41:55.039867,49.197894,16.64837,0101000020E610000020B58993FBA530408D09319754994840
12033092,1099,34115236,Shared room,,Brno,,Brno,0,0.0,3,1.0,,14.0,,2017-04-12 12:41:55.037483,49.20494,16.624158,0101000020E61000006A8995D1C89F304035D252793B9A4840
12780348,1099,69542775,Shared room,,Brno,,Brno,0,0.0,1,1.0,,13.0,,2017-04-12 12:41:55.031573,49.2002,16.603437,0101000020E61000004432E4D87A9A304061545227A0994840
1702976,1099,4504049,Shared room,,Brno,,Brno,32,5.0,11,1.0,,16.0,,2017-04-12 12:41:55.027654,49.196291,16.60958,0101000020E6100000B24B546F0D9C3040E4BF401020994840
14924591,1099,93818030,Shared room,,Brno,,Brno,17,4.5,2,1.0,,39.0,,2017-04-12 12:41:55.023531,49.203673,16.6238,0101000020E6100000AB3E575BB19F3040030AF5F4119A4840
15697762,1099,76775524,Shared room,,Brno,,Brno,7,4.5,2,1.0,,16.0,,2017-04-12 12:41:55.016544,49.194084,16.609156,0101000020E61000008429CAA5F19B3040A35698BED7984840
6856095,1099,18395020,Entire home/apt,,Brno,,Brno,21,4.5,6,3.0,,98.0,,2017-04-12 12:39:36.327102,49.194241,16.607979,0101000020E6100000A0A70183A49B30406B459BE3DC984840
13366615,1099,24752488,Entire home/apt,,Brno,,Brno,2,0.0,4,1.0,,61.0,,2017-04-12 12:39:05.467500,49.198182,16.619872,0101000020E6100000C4B46FEEAF9E3040F4531C075E994840
13052284,1099,29872374,Entire home/apt,,Brno,,Brno,23,4.5,4,2.0,,60.0,,2017-04-12 12:39:04.694585,49.198055,16.616481,0101000020E6100000FA9AE5B2D19D304096E7C1DD59994840
10134792,1099,3327858,Entire home/apt,,Brno,,Brno,21,5.0,4,1.0,,60.0,,2017-04-12 12:38:44.318879,49.213108,16.571907,0101000020E61000007D5A457F689230400B42791F479B4840
12945087,1099,29872374,Entire home/apt,,Brno,,Brno,23,4.5,4,2.0,,60.0,,2017-04-12 12:38:41.958698,49.200393,16.619133,0101000020E6100000D7DF12807F9E304075AC527AA6994840
14493581,1099,65343331,Entire home/apt,,Brno,,Brno,7,5.0,4,2.0,,54.0,,2017-04-12 12:38:40.725831,49.190593,16.590243,0101000020E610000064B14D2A1A9730405BECF65965984840
9308304,1099,29371815,Entire home/apt,,Brno,,Brno,58,4.5,4,2.0,,58.0,,2017-04-12 12:38:39.463444,49.20433,16.619237,0101000020E61000002079E750869E3040BCCB457C279A4840
13985666,1099,83463130,Entire home/apt,,Brno,,Brno,0,0.0,3,2.0,,16.0,,2017-04-12 12:38:37.270932,49.194976,16.53962,0101000020E61000007C444C89248A3040A0C03BF9F4984840
13732615,1099,80266203,Entire home/apt,,Brno,,Brno,0,0.0,6,2.0,,113.0,,2017-04-12 12:38:26.612827,49.193034,16.604892,0101000020E6100000AE9CBD33DA9A30400E828E56B5984840
1617213,1099,6476206,Entire home/apt,,Brno,,Brno,48,5.0,6,2.0,,67.0,,2017-04-12 12:38:25.337092,49.172813,16.685094,0101000020E610000092AF045262AF30406DA983BC1E964840
14436285,1099,31846956,Entire home/apt,,Brno,,Brno,3,4.5,3,2.0,,70.0,,2017-04-12 12:38:25.333932,49.194816,16.607601,0101000020E6100000530438BD8B9B3040685E0EBBEF984840
14275560,1099,85771288,Entire home/apt,,Brno,,Brno,1,0.0,3,1.0,,61.0,,2017-04-12 12:38:21.827797,49.190959,16.620246,0101000020E61000008E791D71C89E30403DF0315871984840
17341495,1099,27769049,Entire home/apt,,Brno,,Brno,0,0.0,2,0.0,,54.0,,2017-04-12 12:38:20.552845,49.18939,16.604882,0101000020E610000067F0F78BD99A3040401878EE3D984840
15443357,1099,16514467,Entire home/apt,,Brno,,Brno,0,0.0,3,1.0,,48.0,,2017-04-12 12:38:20.525059,49.188805,16.598761,0101000020E6100000C91EA16648993040202922C32A984840
3265639,1099,16514467,Entire home/apt,,Brno,,Brno,7,4.5,4,1.0,,43.0,,2017-04-12 12:38:19.345137,49.189206,16.597846,0101000020E61000005F0B7A6F0C9930407E1AF7E637984840
652231,1099,3277922,Entire home/apt,,Brno,,Brno,46,4.0,3,0.0,,47.0,,2017-04-12 12:38:17.390583,49.193613,16.615841,0101000020E610000033897AC1A79D30404C8A8F4FC8984840
17956090,1099,11196915,Entire home/apt,,Brno,,Brno,0,0.0,3,0.0,,49.0,,2017-04-12 12:38:17.380588,49.198185,16.611137,0101000020E610000024607479739C304065C746205E994840
8197307,1099,41012779,Entire home/apt,,Brno,,Brno,64,5.0,2,1.0,,45.0,,2017-04-12 12:38:16.203446,49.182962,16.595947,0101000020E610000039268BFB8F98304094347F4C6B974840
16503086,1099,107898700,Entire home/apt,,Brno,,Brno,10,5.0,4,1.0,,50.0,,2017-04-12 12:38:16.199326,49.212283,16.570783,0101000020E6100000DE1CAED51E923040963FDF162C9B4840
13517652,1099,16691282,Entire home/apt,,Brno,,Brno,52,5.0,2,0.0,,43.0,,2017-04-12 12:38:16.193088,49.198877,16.601523,0101000020E6100000B4CA4C69FD9930409B7631CD74994840
14977987,1099,94055674,Entire home/apt,,Brno,,Brno,2,0.0,4,1.0,,45.0,,2017-04-12 12:38:16.190617,49.185769,16.586393,0101000020E6100000749A05DA1D96304029CE5147C7974840
16357775,1099,62877608,Entire home/apt,,Brno,,Brno,6,5.0,4,1.0,,49.0,,2017-04-12 12:38:16.187933,49.192008,16.608424,0101000020E6100000FC19DEACC19B30400249D8B793984840
17357412,1099,103644182,Entire home/apt,,Brno,,Brno,1,0.0,4,0.0,,57.0,,2017-04-12 12:38:15.633907,49.183976,16.594265,0101000020E61000004E2844C021983040DC9F8B868C974840
4385469,1099,22767859,Entire home/apt,,Brno,,Brno,0,0.0,2,1.0,,38.0,,2017-04-12 12:38:14.452422,49.186048,16.591432,0101000020E6100000D1CE6916689730403CBEBD6BD0974840
9720950,1099,50176994,Entire home/apt,,Brno,,Brno,0,0.0,3,1.0,,31.0,,2017-04-12 12:38:13.156472,49.243682,16.587309,0101000020E61000007FA5F3E159963040DB4FC6F8309F4840
6089279,1099,31601382,Entire home/apt,,Brno,,Brno,15,4.5,6,1.0,,29.0,,2017-04-12 12:38:13.151922,49.199563,16.626182,0101000020E61000000858AB764DA03040EE3EC7478B994840
17252970,1099,29094382,Entire home/apt,,Brno,,Brno,0,0.0,4,1.0,,31.0,,2017-04-12 12:38:13.147576,49.201516,16.618863,0101000020E610000057B439CE6D9E304074CFBA46CB994840
17384773,1099,117508636,Entire home/apt,,Brno,,Brno,0,0.0,2,1.0,,39.0,,2017-04-12 12:38:11.970342,49.221788,16.557439,0101000020E6100000D3838252B48E30409752978C639C4840
16214633,1099,105742013,Entire home/apt,,Brno,,Brno,0,0.0,3,2.0,,37.0,,2017-04-12 12:38:11.956752,49.202392,16.611077,0101000020E61000007A56D28A6F9C30406C7C26FBE7994840
18167689,1099,39445264,Entire home/apt,,Brno,,Brno,0,0.0,4,1.0,,21.0,,2017-04-12 12:38:11.944983,49.201395,16.627653,0101000020E61000007D3CF4DDADA03040F949B54FC7994840
13907518,1099,18395020,Entire home/apt,,Brno,,Brno,0,0.0,2,0.0,,31.0,,2017-04-12 12:38:11.939241,49.20074,16.625541,0101000020E6100000A04E797423A03040E17F2BD9B1994840
10680515,1099,114303726,Entire home/apt,,Brno,,Brno,6,4.5,2,1.0,,37.0,,2017-04-12 12:38:10.449617,49.193291,16.565496,0101000020E6100000D1048A58C49030403ACE6DC2BD984840
